id,text,category
12299,Could someone recommend a reliable tv repair technician? my TV has no display.,TV Repair Technician
12300,I have a flat tyre. Looking for a reliable tire repair.,Tire Repair
12301,Please help because I need security for an event.,Security Guard
12302,Who can help? I need support for a senior family member.,Elder Caregiver
12303,my laptop freezes frequently. I need this fixed soon.,Computer Technician
12304,I need a qualified washing machine technician to repair the washing machine.,Washing Machine Technician
12305,Please help because the office needs sanitizing.,Office Cleaner
12306,Who can help me? the alternator is faulty.,Auto Electrician
12307,Please send a electrician; switches are faulty.,Electrician
12308,I need a glass partition. Looking for a qualified glass installer.,Glass Installer
12309,I would like to hire a carpenter.,Carpenter
12310,I'm looking for a skilled pest control to carry out pest control.,Pest Control
12311,Who can help me? my air conditioner is not cooling.,AC Technician
12312,Need urgent help because AC is not cooling.,AC Technician
12313,I need a professional refrigerator technician to check the cooling system.,Refrigerator Technician
12314,I'm looking for a skilled ac technician to install a new AC.,AC Technician
12315,Looking for an experienced auto electrician to repair the electrical system.,Auto Electrician
12316,Looking for an experienced tire repair to repair the tyre.,Tire Repair
12317,I need a electrician because my ceiling fan has stopped working.,Electrician
12318,Can anyone recommend a reliable tiler? kitchen wall tiles need installation.,Tiler
12319,my metal gate is broken. Looking for a reliable welder.,Welder
12320,Looking for immediate assistance to repair the furniture.,Carpenter
12321,I need someone to do deep cleaning.,House Cleaner
12322,I'm looking for a skilled house cleaner to clean the entire home.,House Cleaner
12323,the steel fence needs welding. Looking for a qualified welder.,Welder
12324,Looking for an experienced security guard to handle security.,Security Guard
12325,the battery drains quickly. I need professional help.,Mobile Phone Technician
12326,Could someone recommend a reliable ac technician? the AC is leaking water.,AC Technician
12327,I need a tiler because I need bathroom tiling.,Tiler
12328,Can anyone recommend a good electrician?,Electrician
12329,I need a auto electrician because the battery won't hold charge.,Auto Electrician
12330,I'm looking for a skilled elder caregiver to provide elderly care.,Elder Caregiver
12331,I need professional help to repair the refrigerator.,Refrigerator Technician
12332,I need a tv repair technician because my TV has no sound.,TV Repair Technician
12333,Please send a pest control; cockroaches are everywhere.,Pest Control
12334,Please arrange a refrigerator technician. my refrigerator is not cooling.,Refrigerator Technician
12335,I need a gardener because the garden is full of weeds.,Gardener
12336,Please send a roofer; roof is leaking.,Roofer
12337,my car won't start. Looking for a reliable car mechanic.,Car Mechanic
12338,Can anyone recommend a good mason?,Mason
12339,the computer keeps restarting. I need professional help.,Computer Technician
12340,I'm having an issue because the fridge makes loud noises.,Refrigerator Technician
12341,I need a plumber because water is leaking from the tap.,Plumber
12342,Could someone recommend a reliable tire repair? I have a flat tyre.,Tire Repair
12343,I'm looking for a reliable electrician.,Electrician
12344,Looking for someone who can clean the office.,Office Cleaner
12345,I need a house cleaner because my house needs deep cleaning.,House Cleaner
12346,I would like to hire a painter.,Painter
12347,I need someone to inspect the vehicle.,Car Mechanic
12348,Could someone help me to assist with housework?,Domestic Helper
12349,I need a gardener because the hedges need trimming.,Gardener
12350,Can anyone recommend a good elder caregiver?,Elder Caregiver
12351,I'm looking for a reliable mason.,Mason
12352,I need someone to fix the leak.,Plumber
12353,toilet keeps overflowing. Looking for an experienced plumber.,Plumber
12354,Looking for an experienced tv repair technician to repair the television.,TV Repair Technician
12355,I'm searching for a skilled cctv technician because my CCTV system is not working.,CCTV Technician
12356,Need professional assistance to replace the tyre.,Tire Repair
12357,the battery keeps going flat. Looking for a reliable auto electrician.,Auto Electrician
12358,I need someone to cook for my family.,Cook
12359,I need a professional house cleaner to clean all rooms.,House Cleaner
12360,I want to repaint my shop. Could someone help?,Painter
12361,I need a professional security guard to provide security.,Security Guard
12362,my phone won't turn on. I need this fixed as soon as possible.,Mobile Phone Technician
12363,I'm having an issue because my tyre has a puncture.,Tire Repair
12364,Can anyone help me? the vehicle wiring needs repair.,Auto Electrician
12365,I'm searching for a reliable tire repair.,Tire Repair
12366,I need brick laying for a garage. Looking for a reliable mason.,Mason
12367,I'm searching for a skilled electrician because my ceiling fan has stopped working.,Electrician
12368,Need urgent help because tyre puncture.,Tire Repair
12369,My problem is that I need a new aluminium door. I need a aluminum fabricator.,Aluminum Fabricator
12370,My problem is that I need a babysitter this evening. I need a babysitter.,Babysitter
12371,I need childcare this afternoon. I need this fixed as soon as possible.,Babysitter
12372,Need urgent help because steel frame needs welding.,Welder
12373,Who can help me? broken floor tiles need replacing.,Tiler
12374,Please help because the cement floor needs repair.,Mason
12375,the machine is leaking. I need this fixed soon.,Washing Machine Technician
12376,I need a professional pest control to remove the pests.,Pest Control
12377,I'm looking for a trusted auto electrician. the car battery keeps dying.,Auto Electrician
12378,Need expert assistance to manage daily housework.,Domestic Helper
12379,Could someone help me to repair the computer?,Computer Technician
12380,Need urgent assistance because the workspace needs sanitizing.,Office Cleaner
12381,I need a office cleaner because the office needs sanitizing.,Office Cleaner
12382,Could someone please clean the entire home?,House Cleaner
12383,Could someone please service the bike?,Motorcycle Mechanic
12384,Could someone help me to provide elderly care?,Elder Caregiver
12385,I need a aluminum fabricator because the aluminium door frame is bent.,Aluminum Fabricator
12386,the gutters need repair. I need professional help.,Roofer
12387,I'm experiencing a problem because AC is not cooling. I need a ac technician.,AC Technician
12388,Please arrange a tv repair technician. my TV has no display.,TV Repair Technician
12389,Who can help me? I need a caregiver for senior care.,Elder Caregiver
12390,my roof has started leaking. I need this fixed soon.,Roofer
12391,I need professional help to clean the house.,House Cleaner
12392,I would like to hire a electrician.,Electrician
12393,Looking for someone who can repair my phone.,Mobile Phone Technician
12394,Looking for someone who can look after my child.,Babysitter
12395,I'm searching for a skilled tiler because broken floor tiles need replacing.,Tiler
12396,Need professional assistance to repair the phone.,Mobile Phone Technician
12397,Please arrange a car mechanic. the vehicle is overheating.,Car Mechanic
12398,I'm looking for a skilled security guard to guard the property.,Security Guard
12399,I'm looking for a skilled aluminum fabricator to fabricate aluminium fittings.,Aluminum Fabricator
12400,Please send a babysitter; need a babysitter during work hours.,Babysitter
12401,I'm looking for a reliable elder caregiver.,Elder Caregiver
12402,Looking for immediate assistance to check the cooling system.,Refrigerator Technician
12403,the glass door is damaged. Looking for a qualified glass installer.,Glass Installer
12404,Need urgent assistance because I need a glass partition.,Glass Installer
12405,I need someone to repair the wall.,Mason
12406,I'm looking for a skilled aluminum fabricator to repair the aluminium frame.,Aluminum Fabricator
12407,Need urgent assistance because I have a flat tyre.,Tire Repair
12408,I would like to hire a mobile phone technician.,Mobile Phone Technician
12409,Need urgent assistance because my garden needs maintenance.,Gardener
12410,My situation is urgent because the freezer is not freezing.,Refrigerator Technician
12411,Please help because our office needs cleaning.,Office Cleaner
12412,Need urgent help because brakes feel weak.,Car Mechanic
12413,damaged tyre. Looking for an experienced tire repair.,Tire Repair
12414,I'm looking for a reliable office cleaner.,Office Cleaner
12415,My situation is urgent because the bathroom tap keeps dripping.,Plumber
12416,Need urgent assistance because the steel fence needs welding.,Welder
12417,Need expert assistance to finish the painting.,Painter
12418,CCTV cameras are not working. Can someone assist?,CCTV Technician
12419,I need a elder caregiver because an elderly family member needs daily assistance.,Elder Caregiver
12420,I would like to hire a glass installer because the glass door is damaged.,Glass Installer
12421,Could someone help me to provide childcare?,Babysitter
12422,Who is available to replace the damaged pipe?,Plumber
12423,Could someone help me to fix the display?,TV Repair Technician
12424,Looking for an experienced auto electrician to repair the electrical system.,Auto Electrician
12425,Please send a electrician; lights keep flickering.,Electrician
12426,I'm searching for a reliable security guard.,Security Guard
12427,Looking for an experienced tiler to replace the tiles.,Tiler
12428,I need a roofer because my roof has started leaking.,Roofer
12429,I need security cameras set up. I need professional help.,CCTV Technician
12430,Looking for an experienced cctv technician to install CCTV cameras.,CCTV Technician
12431,I need a carpenter because the bookshelf is broken.,Carpenter
12432,Need urgent assistance because the lights keep flickering.,Electrician
12433,I need overnight security. Looking for a reliable security guard.,Security Guard
12434,phone won't charge. Can someone assist?,Mobile Phone Technician
12435,there is no sound from the television. I need this fixed as soon as possible.,TV Repair Technician
12436,I would like to hire a computer technician because my desktop is very slow.,Computer Technician
12437,need daily home assistance. Looking for an experienced domestic helper.,Domestic Helper
12438,Who can help? the air conditioner is not cooling.,AC Technician
12439,Could someone recommend a reliable tiler? broken floor tiles need replacing.,Tiler
12440,I'm looking for a skilled elder caregiver to provide elderly care.,Elder Caregiver
12441,I would like to hire a tire repair to replace the tyre.,Tire Repair
12442,My problem is that I have a flat tyre. I need a tire repair.,Tire Repair
12443,Need urgent assistance because there is a burning smell from an electrical outlet.,Electrician
12444,Can a roofer visit today? roof sheets are damaged.,Roofer
12445,Need urgent assistance because kitchen wall tiles need installation.,Tiler
12446,Can a computer technician visit today? the computer keeps restarting.,Computer Technician
12447,I need a mason because I need brick laying for a new room.,Mason
12448,Please send a mason. I need brick laying for a new room.,Mason
12449,Please send a computer technician; computer restarts unexpectedly.,Computer Technician
12450,I'm searching for a reliable cook.,Cook
12451,I'm looking for a reliable ac technician.,AC Technician
12452,I need a mason because a wall has developed cracks.,Mason
12453,Can anyone recommend an experienced elder caregiver?,Elder Caregiver
12454,I need a qualified refrigerator technician to check the cooling system.,Refrigerator Technician
12455,the exterior walls need repainting. Looking for a qualified painter.,Painter
12456,I need professional help since I need childcare while I am at work.,Babysitter
12457,Could someone help me to provide security?,Security Guard
12458,Can anyone recommend a reliable house cleaner? I need move-out cleaning.,House Cleaner
12459,I need a tyre replacement. I need professional help.,Tire Repair
12460,I need someone to carry out pest control.,Pest Control
12461,rats are damaging my storage area. I need this fixed as soon as possible.,Pest Control
12462,Need urgent assistance because I need a new aluminium window.,Aluminum Fabricator
12463,Could someone please install new glass?,Glass Installer
12464,weekly cleaning required. Looking for an experienced house cleaner.,House Cleaner
12465,Please send a car mechanic. my car won't start.,Car Mechanic
12466,I need a professional aluminum fabricator to repair aluminium fittings.,Aluminum Fabricator
12467,Who can help? my window glass is cracked.,Glass Installer
12468,the steel fence needs welding. I need professional help.,Welder
12469,my phone battery drains quickly. I need this fixed soon.,Mobile Phone Technician
12470,my living room needs painting. Looking for a qualified painter.,Painter
12471,Who can help? I need a cook for a family dinner.,Cook
12472,the metal frame is cracked. Could someone help?,Welder
12473,I'm searching for a reliable roofer.,Roofer
12474,Can anyone help me? my ceiling fan has stopped working.,Electrician
12475,I need a aluminum fabricator because the aluminium window is damaged.,Aluminum Fabricator
12476,I'm searching for a skilled plumber because the shower has low water pressure.,Plumber
12477,I need a qualified tire repair to repair the tyre.,Tire Repair
12478,Can anyone recommend a good tiler?,Tiler
12479,I'm searching for a skilled washing machine technician because my washing machine won't spin.,Washing Machine Technician
12480,I need a electrician because my ceiling fan has stopped working.,Electrician
12481,CCTV cameras are not working. Can someone assist?,CCTV Technician
12482,I need childcare while I am at work. Looking for a qualified babysitter.,Babysitter
12483,I need a professional plumber to clear the blockage.,Plumber
12484,roof is leaking. Can someone assist?,Roofer
12485,I need a professional motorcycle mechanic to repair the motorcycle.,Motorcycle Mechanic
12486,I need professional help to repair the roof.,Roofer
12487,I need professional help to clear the blockage.,Plumber
12488,a steel frame needs welding. Looking for a reliable welder.,Welder
12489,the refrigerator keeps turning off. Could someone help?,Refrigerator Technician
12490,I need a ac technician because the AC needs servicing.,AC Technician
12491,I'm experiencing a problem because need help with household chores. I need a domestic helper.,Domestic Helper
12492,Need professional assistance to service the air conditioner.,AC Technician
12493,I need event security. Looking for a qualified security guard.,Security Guard
12494,Who can help me? the trees need trimming.,Gardener
12495,Please send a domestic helper; need help with household chores.,Domestic Helper
12496,I'm looking for a skilled electrician to repair the electrical fault.,Electrician
12497,I need someone to repair the wall.,Mason
12498,my motorcycle won't start. I need professional help.,Motorcycle Mechanic
12499,my tyre is punctured. I need this fixed soon.,Tire Repair
12500,Need professional assistance to paint the room.,Painter
12501,Could someone help me to prepare meals?,Cook
12502,the ceiling paint is peeling. Looking for a qualified painter.,Painter
12503,I need an experienced security guard.,Security Guard
12504,I need someone for daily chores. I need this fixed soon.,Domestic Helper
12505,my car won't start. I need this fixed soon.,Car Mechanic
12506,Who can inspect the battery for me?,Auto Electrician
12507,Who can check the cooling system for me?,Refrigerator Technician
12508,I need professional help to repair the tyre.,Tire Repair
12509,I need someone to paint the house.,Painter
12510,Can anyone recommend an experienced motorcycle mechanic?,Motorcycle Mechanic
12511,Who is available to look after my child?,Babysitter
12512,Can anyone recommend an experienced glass installer?,Glass Installer
12513,I need a tiler because bathroom tiles are loose.,Tiler
12514,my engine won't start. I need this fixed as soon as possible.,Car Mechanic
12515,I need childcare while I am at work. I need professional help.,Babysitter
12516,Who is available to replace the battery?,Mobile Phone Technician
12517,kitchen wall tiles need installation. I need professional help.,Tiler
12518,Need urgent assistance because the screen keeps flickering.,TV Repair Technician
12519,Need someone reliable to repair the glass door.,Glass Installer
12520,the refrigerator keeps turning off. I need this fixed as soon as possible.,Refrigerator Technician
12521,the garden is overgrown. I need this fixed soon.,Gardener
12522,Can anyone recommend a reliable pest control? I have a termite infestation.,Pest Control
12523,Can anyone recommend an experienced tire repair?,Tire Repair
12524,Can anyone recommend a reliable computer technician? my desktop is very slow.,Computer Technician
12525,my laptop freezes frequently. I need this fixed soon.,Computer Technician
12526,I need someone to repair the plumbing.,Plumber
12527,My situation is urgent because the power sockets are not working.,Electrician
12528,I need a roofer because roof sheets are damaged.,Roofer
12529,Could someone please replace the battery?,Mobile Phone Technician
12530,Can anyone recommend a reliable domestic helper? I need help with daily household chores.,Domestic Helper
12531,Need professional assistance to inspect the battery.,Auto Electrician
12532,Can anyone help me? the vehicle wiring needs repair.,Auto Electrician
12533,Could someone please install new glass?,Glass Installer
12534,Can a washing machine technician visit today? my washing machine won't spin.,Washing Machine Technician
12535,I need event security. Looking for a qualified security guard.,Security Guard
12536,I need an experienced car mechanic.,Car Mechanic
12537,Who can help? I need overnight security.,Security Guard
12538,I need a washing machine technician because the machine is leaking.,Washing Machine Technician
12539,I need an experienced refrigerator technician.,Refrigerator Technician
12540,Need urgent assistance because my house needs deep cleaning.,House Cleaner
12541,I need a qualified welder to repair the metal gate.,Welder
12542,I would like to hire a plumber. shower has poor water pressure.,Plumber
12543,Please send a welder. the window grill is broken.,Welder
12544,the lawn needs mowing. Looking for a reliable gardener.,Gardener
12545,rats are damaging food supplies. Looking for a reliable pest control.,Pest Control
12546,Need professional assistance to repair the vehicle wiring.,Auto Electrician
12547,I'm looking for a skilled auto electrician to replace faulty wiring.,Auto Electrician
12548,I'm looking for a skilled carpenter to fix the door.,Carpenter
12549,a cracked wall needs repair. Please help as soon as possible.,Mason
12550,I need a carpenter because the bookshelf is broken.,Carpenter
12551,I'm experiencing a problem because need someone to look after my child. I need a babysitter.,Babysitter
12552,Can anyone recommend a good mason?,Mason
12553,Need urgent assistance because my dining table needs repair.,Carpenter
12554,Need urgent assistance because my kitchen cabinet is loose.,Carpenter
12555,Could someone please inspect the wiring?,Electrician
12556,Need professional assistance to replace the damaged pipe.,Plumber
12557,I need a professional tiler to replace damaged tiles.,Tiler
12558,I need someone to look after my child. I need professional help.,Babysitter
12559,Please send a domestic helper; need daily home assistance.,Domestic Helper
12560,I need a small boundary wall built. Looking for a qualified mason.,Mason
12561,Need professional assistance to service the bike.,Motorcycle Mechanic
12562,our office needs a thorough cleaning. Could someone help?,Office Cleaner
12563,Can anyone recommend a reliable pest control? I have a rat infestation.,Pest Control
12564,television won't switch on. Looking for an experienced tv repair technician.,TV Repair Technician
12565,I would like to hire a security guard. need temporary security personnel.,Security Guard
12566,I'm searching for a skilled electrician because there is a burning smell from an outlet.,Electrician
12567,Can a cctv technician visit today? I need security cameras set up.,CCTV Technician
12568,there are ants all over the kitchen. I need this fixed as soon as possible.,Pest Control
12569,I need a cook for a family event. Looking for a qualified cook.,Cook
12570,Can anyone recommend an experienced welder?,Welder
12571,Need urgent assistance because the AC is leaking water.,AC Technician
12572,Looking for an experienced glass installer to replace the glass.,Glass Installer
12573,I'm searching for a skilled auto electrician because the alternator is faulty.,Auto Electrician
12574,I'm having an issue because I need CCTV cameras installed.,CCTV Technician
12575,I need a pest control because rats are damaging my storage area.,Pest Control
12576,Can anyone help me? the bathroom tap keeps dripping.,Plumber
12577,Need urgent assistance because I need event security.,Security Guard
12578,I'm having an issue because the office floor is dirty.,Office Cleaner
12579,Please send a washing machine technician. the washing machine vibrates heavily.,Washing Machine Technician
12580,Who can help me? the workspace needs sanitizing.,Office Cleaner
12581,Can anyone recommend an experienced welder?,Welder
12582,the ceiling paint is peeling. Looking for a qualified painter.,Painter
12583,I would like to hire a carpenter.,Carpenter
12584,Who can help? I need someone for daily chores.,Domestic Helper
12585,Who can help me? the lights keep flickering.,Electrician
12586,I would like to hire a welder because the window grill is broken.,Welder
12587,Need someone reliable to install new tiles.,Tiler
12588,I'm searching for a skilled roofer because the gutters need repair.,Roofer
12589,I need professional help to retile the floor.,Tiler
12590,Need urgent help because screen flickers constantly.,TV Repair Technician
12591,I'm looking for a trusted auto electrician. the vehicle wiring needs repair.,Auto Electrician
12592,I need a office cleaner because our office needs cleaning.,Office Cleaner
12593,I need a tiler because I need bathroom tiling.,Tiler
12594,I would like to hire a aluminum fabricator to repair the aluminium frame.,Aluminum Fabricator
12595,Can anyone recommend a good electrician?,Electrician
12596,need new CCTV installation. Can someone assist?,CCTV Technician
12597,Can anyone recommend a reliable welder? my metal gate is damaged.,Welder
12598,paint is peeling from the ceiling. I need this fixed as soon as possible.,Painter
12599,Please send a cook; need help preparing meals.,Cook
12600,Could someone help me to remove the pests?,Pest Control
12601,Need professional assistance to repair the tyre.,Tire Repair
12602,I would like to hire a painter. new room needs painting.,Painter
12603,I need a tiler because floor tiles are lifting.,Tiler
12604,Can anyone recommend an experienced refrigerator technician?,Refrigerator Technician
12605,I'm experiencing a problem because flat tyre. I need a tire repair.,Tire Repair
12606,My situation is urgent because kitchen wall tiles need installation.,Tiler
12607,I would like to hire a elder caregiver to provide elderly care.,Elder Caregiver
12608,I need a professional roofer to replace roof sheets.,Roofer
12609,I need a qualified car mechanic to inspect the vehicle.,Car Mechanic
12610,Who can help? the AC is making unusual noise.,AC Technician
12611,Can anyone recommend an experienced mason?,Mason
12612,I would like to hire a computer technician.,Computer Technician
12613,Need urgent assistance because the machine stops during washing.,Washing Machine Technician
12614,termites have spread through the furniture. Could someone help?,Pest Control
12615,I need security cameras set up. Looking for a qualified cctv technician.,CCTV Technician
12616,Need professional assistance to provide security.,Security Guard
12617,I need an experienced welder.,Welder
12618,I need professional help since my air conditioner is not cooling.,AC Technician
12619,Can anyone recommend a good pest control?,Pest Control
12620,Who can replace the glass for me?,Glass Installer
12621,Looking for an experienced carpenter to replace damaged wood.,Carpenter
12622,Who can help me? the AC is leaking water.,AC Technician
12623,I need professional help to replace damaged roofing.,Roofer
12624,Need someone reliable to replace the tyre.,Tire Repair
12625,Who can help? my elderly parent needs assistance.,Elder Caregiver
12626,I need a mason because I need a small boundary wall built.,Mason
12627,Can anyone recommend a reliable car mechanic? the brakes are not working properly.,Car Mechanic
12628,I need a qualified house cleaner to clean every room.,House Cleaner
12629,I need a refrigerator technician because the freezer is not working.,Refrigerator Technician
12630,I need a qualified welder to weld the frame.,Welder
12631,Who can help me? the window grill is broken.,Welder
12632,Need urgent assistance because bathroom tiles are loose.,Tiler
12633,the TV screen is black. Could someone help?,TV Repair Technician
12634,I would like to hire a tiler.,Tiler
12635,I'm looking for a reliable tire repair.,Tire Repair
12636,I have a flat tyre. Looking for a reliable tire repair.,Tire Repair
12637,my CCTV cameras are offline. Looking for a reliable cctv technician.,CCTV Technician
12638,Can anyone recommend a good carpenter?,Carpenter
12639,I have a flat tyre. Looking for a reliable tire repair.,Tire Repair
12640,I would like to hire a cctv technician to install CCTV cameras.,CCTV Technician
12641,Who can help? my metal gate is broken.,Welder
12642,Could someone recommend a reliable roofer? my roof is leaking.,Roofer
12643,I need professional help to repair the motorcycle.,Motorcycle Mechanic
12644,I need a security guard because I need temporary security staff.,Security Guard
12645,the walls need a fresh coat of paint. Could someone help?,Painter
12646,I'm looking for a trusted security guard. I need event security.,Security Guard
12647,I would like to hire a electrician.,Electrician
12648,Who can maintain the garden for me?,Gardener
12649,I'm looking for a trusted auto electrician. the car battery keeps dying.,Auto Electrician
12650,My problem is that I need CCTV cameras installed. I need a cctv technician.,CCTV Technician
12651,I need a refrigerator technician because the refrigerator keeps turning off.,Refrigerator Technician
12652,my tyre has a puncture. Please help as soon as possible.,Tire Repair
12653,need childcare this evening. Looking for an experienced babysitter.,Babysitter
12654,I would like to hire a glass installer. window glass is shattered.,Glass Installer
12655,Need expert assistance to repair the motorcycle.,Motorcycle Mechanic
12656,I need assistance with daily chores. I need this fixed as soon as possible.,Domestic Helper
12657,I'm looking for a skilled house cleaner to do deep cleaning.,House Cleaner
12658,Please send a aluminum fabricator. I need an office partition.,Aluminum Fabricator
12659,Need expert assistance to repair the tyre.,Tire Repair
12660,I need professional help to trim the hedges.,Gardener
12661,My situation is urgent because the window grill is broken.,Welder
12662,Could someone please weld the steel frame?,Welder
12663,Can anyone recommend an experienced tire repair?,Tire Repair
12664,Need someone reliable to repair the TV.,TV Repair Technician
12665,Can anyone recommend a good car mechanic?,Car Mechanic
12666,bathroom tiles are cracked. Can someone assist?,Tiler
12667,there are termites in the wooden furniture. I need this fixed soon.,Pest Control
12668,Who can repair the TV for me?,TV Repair Technician
12669,Need professional assistance to fabricate aluminium fittings.,Aluminum Fabricator
12670,Need urgent help because walls need repainting.,Painter
12671,I'm looking for a trusted aluminum fabricator. the aluminium window is damaged.,Aluminum Fabricator
12672,rats are damaging food supplies. Looking for a reliable pest control.,Pest Control
12673,kitchen wall tiles need installation. Please help as soon as possible.,Tiler
12674,My situation is urgent because my car won't start.,Car Mechanic
12675,Please send a car mechanic; brakes feel weak.,Car Mechanic
12676,I'm looking for a skilled refrigerator technician to repair the refrigerator.,Refrigerator Technician
12677,Looking for an experienced aluminum fabricator to install aluminium fittings.,Aluminum Fabricator
12678,I need professional help since the car battery keeps dying.,Auto Electrician
12679,I need brick laying for a garage. I need this fixed soon.,Mason
12680,Please help because the television screen is blank.,TV Repair Technician
12681,I'm looking for a skilled glass installer to install new glass.,Glass Installer
12682,Need professional assistance to install CCTV cameras.,CCTV Technician
12683,Who can help? the freezer is not working.,Refrigerator Technician
12684,Can anyone recommend a reliable cook? I need a cook for daily meals.,Cook
12685,I'm having an issue because I need weekly house cleaning.,House Cleaner
12686,I need move-out cleaning. Looking for a qualified house cleaner.,House Cleaner
12687,I would like to hire a cook to prepare meals.,Cook
12688,Please send a babysitter. I need someone to watch my child.,Babysitter
12689,My situation is urgent because the washing machine is leaking.,Washing Machine Technician
12690,I would like to hire a domestic helper to help with household tasks.,Domestic Helper
12691,Need professional assistance to remove the malware.,Computer Technician
12692,Who is available to service the bike?,Motorcycle Mechanic
12693,Please send a painter; new room needs painting.,Painter
12694,Please send a gardener; garden is overgrown.,Gardener
12695,I need someone to help with housework. Could someone help?,Domestic Helper
12696,I would like to hire a elder caregiver because I need a caregiver for senior care.,Elder Caregiver
12697,I'm looking for a skilled cctv technician to install CCTV cameras.,CCTV Technician
12698,I'm having an issue because my refrigerator is not cooling.,Refrigerator Technician
12699,cement floor is damaged. Looking for an experienced mason.,Mason
12700,Who can install CCTV cameras for me?,CCTV Technician
12701,my motorcycle needs servicing. Looking for a qualified motorcycle mechanic.,Motorcycle Mechanic
12702,I'm searching for a skilled plumber because a water pipe has burst.,Plumber
12703,I need a professional mason to repair the wall.,Mason
12704,I'm looking for a skilled cook to prepare meals.,Cook
12705,I'm looking for a reliable refrigerator technician.,Refrigerator Technician
12706,Need urgent assistance because the alternator is faulty.,Auto Electrician
12707,my phone battery drains quickly. I need this fixed soon.,Mobile Phone Technician
12708,my desktop is very slow. Please help as soon as possible.,Computer Technician
12709,Please send a car mechanic. my engine won't start.,Car Mechanic
12710,I'm looking for a reliable pest control.,Pest Control
12711,I would like to hire a cctv technician to install CCTV cameras.,CCTV Technician
12712,Need urgent help because tyre puncture.,Tire Repair
12713,Need urgent help because roof is leaking.,Roofer
12714,I'm having an issue because my desktop is very slow.,Computer Technician
12715,Who can help? the toilet won't flush.,Plumber
12716,Need someone reliable to provide elderly care.,Elder Caregiver
12717,Who can check the cooling system for me?,Refrigerator Technician
12718,Need urgent assistance because the fridge makes loud noises.,Refrigerator Technician
12719,Who can help me? the trees need trimming.,Gardener
12720,I need professional help since I need a cook for a family event.,Cook
12721,Looking for an experienced painter to paint the walls.,Painter
12722,Please arrange a tire repair. I need a tyre replacement.,Tire Repair
12723,I'm looking for a reliable carpenter.,Carpenter
12724,I would like to hire a motorcycle mechanic.,Motorcycle Mechanic
12725,Please help because the headlights stopped working.,Auto Electrician
12726,my engine won't start. Could someone help?,Car Mechanic
12727,my office needs cleaning. Looking for a qualified office cleaner.,Office Cleaner
12728,Could someone please inspect the cooling system?,Refrigerator Technician
12729,I need professional help to repair the electrical system.,Auto Electrician
12730,I'm looking for a trusted aluminum fabricator. I need a new aluminium door.,Aluminum Fabricator
12731,Can anyone recommend a reliable cook? I need meal preparation assistance.,Cook
12732,Can anyone recommend a good plumber?,Plumber
12733,I'm looking for a reliable painter.,Painter
12734,Could someone please look after my child?,Babysitter
12735,Please send a ac technician. the AC is leaking water.,AC Technician
12736,Who can check the cooling system for me?,Refrigerator Technician
12737,I would like to hire a gardener because the trees need trimming.,Gardener
12738,I need an experienced auto electrician.,Auto Electrician
12739,Who can guard the premises for me?,Security Guard
12740,Looking for an experienced house cleaner to do a deep cleaning.,House Cleaner
12741,I need an experienced ac technician.,AC Technician
12742,Can anyone recommend a reliable plumber? the toilet is blocked.,Plumber
12743,I'm looking for a skilled tiler to install new tiles.,Tiler
12744,I'm looking for a skilled office cleaner to perform office cleaning.,Office Cleaner
12745,Who can help? my phone battery drains quickly.,Mobile Phone Technician
12746,I would like to hire a refrigerator technician. freezer stopped freezing.,Refrigerator Technician
12747,Please send a car mechanic. the car shakes while driving.,Car Mechanic
12748,Need urgent help because switches are faulty.,Electrician
12749,Can anyone recommend a good refrigerator technician?,Refrigerator Technician
12750,Need urgent help because roof sheets are damaged.,Roofer
12751,Who can repair the AC for me?,AC Technician
12752,I'm looking for a skilled motorcycle mechanic to repair the motorcycle.,Motorcycle Mechanic
12753,Looking for immediate assistance to provide childcare.,Babysitter
12754,kitchen wall tiles need replacing. Can someone assist?,Tiler
12755,Need urgent help because termites have damaged the wood.,Pest Control
12756,I would like to hire a painter because my living room needs painting.,Painter
12757,our office needs cleaning. I need this fixed soon.,Office Cleaner
12758,Could someone help me to replace the glass?,Glass Installer
12759,Can anyone recommend an experienced gardener?,Gardener
12760,I'm searching for a reliable tv repair technician.,TV Repair Technician
12761,Looking for an experienced washing machine technician to repair the washing machine.,Washing Machine Technician
12762,Looking for someone who can repair the AC.,AC Technician
12763,Please send a tv repair technician. the screen keeps flickering.,TV Repair Technician
12764,Need urgent help because vehicle overheats.,Car Mechanic
12765,I'm searching for a reliable ac technician.,AC Technician
12766,my tyre is completely flat. I need this fixed as soon as possible.,Tire Repair
12767,I need professional help since my kitchen cabinet is loose.,Carpenter
12768,I need a painter because I want to repaint my office.,Painter
12769,I'm looking for a trusted washing machine technician. my washing machine won't spin.,Washing Machine Technician
12770,Can anyone recommend an experienced washing machine technician?,Washing Machine Technician
12771,I'm searching for a skilled gardener because the trees need trimming.,Gardener
12772,Can anyone help me? I need someone to look after my child.,Babysitter
12773,the computer is extremely slow. Could someone help?,Computer Technician
12774,Please send a house cleaner. I need move-out cleaning.,House Cleaner
12775,I'm looking for a skilled cctv technician to repair the CCTV system.,CCTV Technician
12776,Could someone please remove the malware?,Computer Technician
12777,Looking for immediate assistance to fabricate aluminium work.,Aluminum Fabricator
12778,I would like to hire a car mechanic to repair the vehicle.,Car Mechanic
12779,I would like to hire a computer technician to remove malware.,Computer Technician
